code,description
02012090,"Bucati nedezosate de bovine (excl.sferturi compensate, sferturi anterioare sau posterioare neseparate sau separate), proaspete sau refrigerate"
02013000,"Carne de bovine dezosata, proaspata sau refrigerata"
02021000,"Carcase sau semicarcase de bovine, congelate"
02022010,"Sferturi de bovine numite compensate, nedezosate, congelate"
02022030,"Sferturi anterioare de bovine, neseparate sau separate, nedezosate, congelate"
02022050,"Sferturi posterioare de bovine, neseparate sau separate, nedezosate, congelate"
02022090,"Carne de bovine nedezosata, congelata (excl. carcase sau semicarcase, sferturi compensate, sferturi anterioare sau posterioare separate sau neseparate)"
02023010,"Sferturi anterioare de bovine, dezosate, intr-un singur bloc congelat; sferturi compensate prezentate in doua blocuri congelate, unul continand partea anterioara a carcasei, iar cealalt sfertul posterior, intr-o singura bucata, fara muschiul file"
02023050,"Bucati dezosate de bovine, rezultate din sferturi anterioare si din piept numite australiene, congelate"
02023090,"Carne dezosata de bovine, congelata (excl.sferturi anterioare si sferturi compensate clasificate la subpozitia 02023010 si bucati dezosate de bovine, rezultate din sferturi anterioare si din piept numite australiene clasificate la subpozitia 02023050"
02031110,"Carcase sau semicarcase de porcine domestice, proaspete sau refrigerate"
02031190,"Carcase sau semicarcase de porcine (excl.porcine domestice), proaspete sau refrigerate"
02031211,"Jamboane si parti din acestea, nedezosate, de porcine domestice, proaspete sau refrigerate"
02031219,"Spete si parti din acestea, nedezosate, de porcine domestice, proaspete sau refrigerate"
02031290,"Jamboane si parti din acestea, nedezosate, de porcine (excl.porcine domestice), proaspete sau refrigerate"
02031911,"Parti anterioare si parti din acestea, de porcine domestice, proaspete sau refrigerate"
02031913,"Spinari si parti din acestea, nedezosate, de porcine domestice, proaspete sau refrigerate"
02031915,"Piept (impanat) si parti de piept, de porcine domestice, proaspete sau refrigerate"
02031955,"Alta carne dezosata de animale din specia porcine domestice, proaspata sau refrigerata (excl.parti anterioare, spinari, piept, carcase sau semicarcase, jamboane, spete si parti din acestea nedezosate)"
02031959,"Carne nedezosata de animale din specia porcine domestice, proaspata sau refrigerata (excl.parti anterioare, spinari, piept, carcase sau semicarcase, jamboane, spete si parti din acestea nedezosate)"
02031990,"Carne de animale din specia porcine (excl.porcine domestice), proaspata sau refrigerata (excl.carcase sau semicarcase, jamboane, spete si parti din acestea, nedezosate)"
02032110,"Carcase sau semicarcase de porcine domestice, congelate"
02032190,"Carcase sau semicarcase de porcine (excl.porcine domestice), congelate"
02032211,"Jamboane si parti din acestea, de porcine domestice, nedezosate, congelate"
02032219,"Spete si parti din acestea, de porcine domestice, nedezosate, congelate"
02032290,"Jamboane, spete si parti din acestea, de porcine (excl.porcine domestice), nedezosate, congelate"
02032911,"Parti anterioare si parti din acestea, de porcine domestice, congelate"
02032913,"Spinari si parti din acestea, nedezosate, de porcine domestice, congelate"
02032915,"Piept (impanat) si parti de piept, de porcine domestice, congelate"
02032955,"Carne dezosata de porcine domestice, congelata (excl. parti anterioare, spinari, piept, carcase sau semicarcase, jamboane, spete)"
02032959,"Carne nedezosata de porcine domestice, congelata (excl. parti anterioare, spinari, piept, carcase sau semicarcase, jamboane, spete)"
02032990,"Carne de porcine (excl.porcine domestice), congelata (excl.carcase sau semicarcase, jamboane, spete si parti din acestea nedezosate)"
02041000,"Carcase si semicarcase de miel, proaspete sau refrigerate"
02042100,"Carcase sau semicarcase de ovine (excl.miei), proaspete sau refrigerate"
02042210,"Casca sau semicasca de ovine (excl.miei), nedezosata, proaspata sau refrigerata"
02042230,"Spinali si/sau sa sau semispinali si/sau semisa, de ovine (excl.miei), nedezosate, proaspete sau refrigerate"
